dbw_enabled,linear_current,angular_current,linear_required,angular_required,throttle,brake,steer,dx_c,dy_c,theta_c,steering_feedback
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.234,1183.27,0.10345,0.0
True,0.0210159226112,0.0,2.556936713011052,0.0,0.056726932498207136,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.06217730001722243,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.06217730001722243,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.06217730001722243,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.06217730001722243,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.06217730001722243,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.06217730001722243,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.06217730001722243,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.058716424095999996,0.0,2.556936713011052,0.0,0.05588359629820713,0.0,0.0,1131.25,1183.271,0.1034551,0.0
True,0.082740756032,-0.020502581735319575,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.082740756032,0.0,2.556936713011052,0.0,0.05534618729820714,0.0,0.0,1131.275,1183.274,0.1034824,0.0
True,0.102487228096,0.01830432107019483,2.556936713011052,0.0,0.05490447129820714,0.0,0.0,1131.298,1183.275,0.1035117,0.0
True,0.102487228096,0.0,2.556936713011052,0.0,0.05490447129820714,0.0,0.0,1131.298,1183.275,0.1035117,0.0
True,0.102487228096,0.0,2.556936713011052,0.0,0.05490447129820714,0.0,0.0,1131.298,1183.275,0.1035117,0.0
